MS id, Start time (YYYY-MM-DD HH:MM:SS), End time (YYYY-MM-DD HH:MM:SS), Total timesteps (ntimes)
L242124, 2014-08-25 12:01:00, 2014-08-25 12:59:00, 599
L242126, 2014-08-25 12:12:00, 2014-08-25 16:11:59, 14398
L242128, 2014-08-25 16:13:00, 2014-08-25 16:22:59, 599
L242166, 2014-08-26 12:41:00, 2014-08-26 12:50:59, 599
L242168, 2014-08-26 12:52:00, 2014-08-26 16:51:59, 14398
L242170, 2014-06-26 16:53:00, 2014-08-26 17:02:59, 599
L242326, 2014-08-27 13:01:00, 2014-08-27 13:10:59, 599
L242328, 2014-08-27 13:12:00, 2014-08-27 17:11:59, 14398
L401011, 2015-08-16 08:00:00, 2015-08-16 14:00:00, 86280
L401013, 2015-08-16 08:00:00, 2015-08-16 14:00:00, 86280
